Smiles,standardise_smiles,inchi_key
O1[C@H](C)[C@H](NC(=O)C=2C3=Nc4c(OC3=C(C)C(=O)C=2N)c(ccc4C(=O)N[C@H]2[C@H](OC(=O)[C@@H](N(C)C(=O)CN(C)C(=O)[C@H]3N(CCC3)C(=O)[C@H](NC2=O)C(C)C)C(C)C)C)C)C(=O)N[C@H](C(C)C)C(=O)N2[C@@H](CCC2)C(=O)N(CC(=O)N(C)[C@@H](C(C)C)C1=O)C,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O,RJURFGZVJUQBHK-IIXSONLDSA-N
S(=O)(CCCC(F)(F)C(F)(F)F)CCCCCCCCC[C@@H]1Cc2cc(O)ccc2[C@@H]2C1[C@@H]1CC[C@H](O)[C@]1(CC2)C,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)C3[C@@H]1CC[C@@H]2O,VWUXBMIQPBEWFH-LQKBAPIOSA-N
O1[C@@H](CC(=O)[C@@H](\C=C(/C)\[C@@H](O)[C@@H](OC)C(=O)[C@@H](C[C@@H](\C=C\C=C\C=C(/C)\[C@@H](OC)C[C@H]2O[C@](O)([C@@H](CC2)C)C(=O)C(=O)N2[C@@H](CCCC2)C1=O)C)C)C)[C@H](C[C@H]1C[C@@H](OC)[C@H](O)CC1)C,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,QFJCIRLUMZQUOT-KLHQEZAJSA-N
O(CCN(C)C)c1ccc(cc1)\C(=C(\CC)/c1ccccc1)\c1ccccc1,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,NKANXQFJJICGDU-QPLCGJKRSA-N
Clc1ccccc1C(C(Cl)Cl)c1ccc(Cl)cc1,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,JWBOIMRXGHLCPP-UHFFFAOYSA-N
O=C(Nc1cc(Nc2nc(ccn2)-c2cccnc2)c(cc1)C)c1ccc(cc1)CN1CCN(CC1)C,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,KTUFNOKKBVMGRW-UHFFFAOYSA-N
ClCC\C(=C(\c1ccc(OCCN(C)C)cc1)/c1ccccc1)\c1ccccc1,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,XFCLJVABOIYOMF-QPLCGJKRSA-N
O(CCOC)c1cc2c(ncnc2Nc2cc(ccc2)C#C)cc1OCCOC,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,AAKJLRGGTJKAMG-UHFFFAOYSA-N
S(=O)(=O)(N)c1ccc(-n2nc(cc2-c2ccc(cc2)C)C(F)(F)F)cc1,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,RZEKVGVHFLEQIL-UHFFFAOYSA-N
Clc1ccc(NC(=O)Nc2ccc(Oc3cc(ncc3)C(=O)NC)cc2)cc1C(F)(F)F,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,MLDQJTXFUGDVEO-UHFFFAOYSA-N
Clc1cc(Nc2ncnc3c2cc(OCCCN2CCOCC2)c(OC)c3)ccc1F,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,XGALLCVXEZPNRQ-UHFFFAOYSA-N
[S+](CCCNC(=O)c1nc(sc1)-c1nc(sc1)CCNC(=O)[C@@H](NC(=O)[C@H]([C@H](O)[C@H](NC(=O)[C@@H](NC(=O)c1nc(nc(N)c1C)[C@@H](NC[C@H](N)C(=O)N)CC(=O)N)[C@@H](OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(=O)N)C1O)c1[nH]cnc1)C)C)[C@H](O)C)(C)C,Cc1c(N)nc([C@H](CC(N)=O)NC[C@H](N)C(N)=O)nc1C(=O)N[C@H](C(=O)N[C@H](C)[C@@H](O)[C@H](C)C(=O)N[C@H](C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)[C@@H](C)O)[C@@H](OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)c1cnc[nH]1,OYVAGSVQBOHSSS-WXFSZRTFSA-O
S(=O)(=O)(Nc1cc(OC)c(Nc2c3c(nc4c2cccc4)cccc3)cc1)C,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,XCPGHVQEEXUHNC-UHFFFAOYSA-N
OC1=NC(CC)C(=O)N(CC(=O)N(C)C(CC(C)C)C(O)=NC(C(C)C)C(=O)N(C)C(CC(C)C)C(O)=NC(C)C(O)=NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N(C)C1C(O)C(C\C=C\C)C)C,C/C=C/CC(C)C(O)C1C(O)=NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(O)=NC(C(C)C)C(=O)N(C)C(CC(C)C)C(O)=NC(C)C(O)=NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,PMATZTZNYRCHOR-IMVLJIQESA-N
Oc1ccc(cc1)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]1NC(=O)CC1)Cc1[nH]cnc1)Cc1c2c([nH]c1)cccc2)CO)C(=O)N[C@@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(=O)N)COC(C)(C)C,CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O,BLCLNMBMMGCOAS-URPVMXJPSA-N
